resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon,img
49(degrees) North,Washington,5774,3923,1851,6,68,2325,0.3,697.5,0.4,930,0.3,697.5,49,-115.84,https://snowlanderexpo.com/wp-content/uploads/2016/10/VendorLogos2016_49North_Logo.jpg
Badger Mountain,Washington,3800,3000,800,3,5,20,0.33,6.6,0.34,6.8,0.33,6.6,47.59,-120.19,https://skitheworld.com/wp-content/uploads/2010/11/Badger_Mountain.jpg
Crystal Mountain,Washington,7012,4400,3100,12,57,2600,0.11,286,0.54,1404,0.35,910,46.92,-121.52,https://bigskyresort.com/Images/Big%20Sky/Footer/S18/Ikon/Crystal%20MTN%20Logo.jpg
Echo Valley,Washington,3900,3000,900,4,8,70,0.25,17.5,0.5,35,0.25,17.5,48.64,-117.93,https://skiechovalley.com/images/logo.png
Loup Loup,Washington,5280,4040,1240,4,10,300,0.2,60,0.3,90,0.5,150,48.29,-119.71,https://cdn.dribbble.com/users/5824/screenshots/765203/loup-loup-v1.png
Mission Ridge,Washington,6820,4570,2250,6,36,2000,0.1,200,0.6,1200,0.3,600,47.34,-120.47,https://www.graphis.com/media/uploads/cache/a7/c5/a7c50b81668c1dfe17f09bcfed4b335a.jpg
Mt. Baker,Washington,5050,3500,1500,10,38,1000,0.24,240,0.45,450,0.31,310,48.78,-121.81,https://s.ws-images.com/uploadedimages/large/orgimg_25415_8d3d0403f1a4cbc.jpg
Mt. Spokane,Washington,5889,4200,2000,5,45,1425,0.23,327.75,0.45,641.25,0.32,456,47.93,-117.12,https://pbs.twimg.com/profile_images/2299559407/fepkf8cd0tgw1fchdaee_400x400.jpeg
Ski Bluewood,Washington,5670,4545,1125,3,24,430,0.27,116.1,0.43,184.9,0.3,129,47.75,-120.74,https://www.waitsburgtimes.com/home/cms_data/dfault/photos/stories/id/2/4/10624/.TEMP/s_topTEMP425x425-2780.jpeg
Stevens Pass,Washington,5845,4601,1800,10,37,1125,0.11,123.75,0.54,607.5,0.35,393.75,47.75,-121.09,https://lift.opensnow.com/location-logos/stevenspass.png
The Summit at Snoqualmie,Washington,5420,2610,2280,25,96,1981,0.14,277.34,0.45,891.45,0.41,812.21,47.75,-120.74,https://pbs.twimg.com/profile_images/929149964814635008/re7uL_0E.jpg
White Pass,Washington,6550,4500,2050,8,47,1402,0.15,210.3,0.65,911.3,0.2,280.4,46.64,-121.39,https://i.ytimg.com/vi/2RAPpHAwzPQ/hqdefault.jpg
